model,obs,score
"Cox PH, Self-Prentice weights",750,0.945087661
"Cox PH Ridge, Barlow weights",750,0.943565994
"Cox PH Lasso, Barlow weights",750,0.943565994
"Cox PH Elastic Net, Barlow weights",750,0.943565994
"Survival Tree, unweighted",750,0.89166391
"Survival Tree, random oversampler",750,0.812636454
"Survival Tree, SMOTENC",750,0.773238505
"Random Survival Forest, unweighted",750,0.911610982
"Random Survival Forest, random oversampler",750,0.897320543
"Random Survival Forest, SMOTENC",750,0.868805822
Unweighted Cox PH,750,0.964444444
"Cox PH, Barlow weights",750,0.958358974
"Cox PH, Prentice weights",750,0.959452991
"Cox PH, Self-Prentice weights",750,0.960752137
"Cox PH Ridge, Barlow weights",750,0.958358974
"Cox PH Lasso, Barlow weights",750,0.958358974
"Cox PH Elastic Net, Barlow weights",750,0.958358974
"Survival Tree, unweighted",750,0.887247863
"Survival Tree, random oversampler",750,0.887692308
"Survival Tree, SMOTENC",750,0.880478632
"Random Survival Forest, unweighted",750,0.918905983
"Random Survival Forest, random oversampler",750,0.914735043
"Random Survival Forest, SMOTENC",750,0.902358974
Unweighted Cox PH,750,0.944291339
"Cox PH, Barlow weights",750,0.945669291
"Cox PH, Prentice weights",750,0.946128609
"Cox PH, Self-Prentice weights",750,0.94507874
"Cox PH Ridge, Barlow weights",750,0.945669291
"Cox PH Lasso, Barlow weights",750,0.945669291
"Cox PH Elastic Net, Barlow weights",750,0.945669291
"Survival Tree, unweighted",750,0.882775591
